"Stadtteil","Jahr","Personen"
"Innenstadt-Ost","2007",698
"Innenstadt-Ost","2008",734
"Innenstadt-Ost","2009",751
"Innenstadt-Ost","2010",765
"Innenstadt-Ost","2011",759
"Innenstadt-Ost","2012",776
"Innenstadt-Ost","2013",807
"Innenstadt-Ost","2014",796
"Innenstadt-Ost","2015",818
"Innenstadt-Ost","2016",862
"Innenstadt-Ost","2017",841
"Innenstadt-Ost","2018",833
"Innenstadt-Ost","2019",855
"Innenstadt-Ost","2020",768
"Innenstadt-Ost","2021",784
"Innenstadt-West","2007",1034
"Innenstadt-West","2008",1056
"Innenstadt-West","2009",1063
"Innenstadt-West","2010",1073
"Innenstadt-West","2011",1094
"Innenstadt-West","2012",1075
"Innenstadt-West","2013",1115
"Innenstadt-West","2014",1156
"Innenstadt-West","2015",1210
"Innenstadt-West","2016",1234
"Innenstadt-West","2017",1198
"Innenstadt-West","2018",1148
"Innenstadt-West","2019",1172
"Innenstadt-West","2020",993
"Innenstadt-West","2021",996
"Südstadt","2007",2238
"Südstadt","2008",2256
"Südstadt","2009",2242
"Südstadt","2010",2334
"Südstadt","2011",2368
"Südstadt","2012",2431
"Südstadt","2013",2541
"Südstadt","2014",2591
"Südstadt","2015",2660
"Südstadt","2016",2843
"Südstadt","2017",2865
"Südstadt","2018",2866
"Südstadt","2019",2851
"Südstadt","2020",2751
"Südstadt","2021",2694
"Südweststadt","2007",3084
"Südweststadt","2008",3149
"Südweststadt","2009",3164
"Südweststadt","2010",3234
"Südweststadt","2011",3255
"Südweststadt","2012",3260
"Südweststadt","2013",3308
"Südweststadt","2014",3396
"Südweststadt","2015",3389
"Südweststadt","2016",3458
"Südweststadt","2017",3505
"Südweststadt","2018",3554
"Südweststadt","2019",3462
"Südweststadt","2020",3349
"Südweststadt","2021",3318
"Weststadt","2007",3071
"Weststadt","2008",3133
"Weststadt","2009",3097
"Weststadt","2010",3186
"Weststadt","2011",3131
"Weststadt","2012",3167
"Weststadt","2013",3167
"Weststadt","2014",3187
"Weststadt","2015",3180
"Weststadt","2016",3253
"Weststadt","2017",3239
"Weststadt","2018",3153
"Weststadt","2019",3106
"Weststadt","2020",2989
"Weststadt","2021",2948
"Nordweststadt","2007",1858
"Nordweststadt","2008",1834
"Nordweststadt","2009",1844
"Nordweststadt","2010",1788
"Nordweststadt","2011",1785
"Nordweststadt","2012",1837
"Nordweststadt","2013",1868
"Nordweststadt","2014",1862
"Nordweststadt","2015",1872
"Nordweststadt","2016",1934
"Nordweststadt","2017",1978
"Nordweststadt","2018",1994
"Nordweststadt","2019",1965
"Nordweststadt","2020",1977
"Nordweststadt","2021",2024
"Oststadt","2007",2323
"Oststadt","2008",2305
"Oststadt","2009",2340
"Oststadt","2010",2435
"Oststadt","2011",2460
"Oststadt","2012",2637
"Oststadt","2013",2923
"Oststadt","2014",4382
"Oststadt","2015",6083
"Oststadt","2016",3402
"Oststadt","2017",3076
"Oststadt","2018",2526
"Oststadt","2019",2505
"Oststadt","2020",2341
"Oststadt","2021",2386
"Mühlburg","2007",2376
"Mühlburg","2008",2348
"Mühlburg","2009",2308
"Mühlburg","2010",2326
"Mühlburg","2011",2335
"Mühlburg","2012",2309
"Mühlburg","2013",2403
"Mühlburg","2014",2476
"Mühlburg","2015",2591
"Mühlburg","2016",2732
"Mühlburg","2017",2624
"Mühlburg","2018",2668
"Mühlburg","2019",2571
"Mühlburg","2020",2457
"Mühlburg","2021",2497
"Daxlanden","2007",2154
"Daxlanden","2008",2101
"Daxlanden","2009",2105
"Daxlanden","2010",2072
"Daxlanden","2011",2020
"Daxlanden","2012",1997
"Daxlanden","2013",1952
"Daxlanden","2014",1878
"Daxlanden","2015",1915
"Daxlanden","2016",1929
"Daxlanden","2017",1917
"Daxlanden","2018",1909
"Daxlanden","2019",1890
"Daxlanden","2020",1821
"Daxlanden","2021",1781
"Knielingen","2007",1570
"Knielingen","2008",1533
"Knielingen","2009",1515
"Knielingen","2010",1514
"Knielingen","2011",1550
"Knielingen","2012",1587
"Knielingen","2013",1628
"Knielingen","2014",1674
"Knielingen","2015",1732
"Knielingen","2016",1794
"Knielingen","2017",1901
"Knielingen","2018",2061
"Knielingen","2019",2140
"Knielingen","2020",2201
"Knielingen","2021",2228
"Grünwinkel","2007",1846
"Grünwinkel","2008",1784
"Grünwinkel","2009",1808
"Grünwinkel","2010",1788
"Grünwinkel","2011",1788
"Grünwinkel","2012",1779
"Grünwinkel","2013",1808
"Grünwinkel","2014",1789
"Grünwinkel","2015",1833
"Grünwinkel","2016",1862
"Grünwinkel","2017",1988
"Grünwinkel","2018",2156
"Grünwinkel","2019",2119
"Grünwinkel","2020",1938
"Grünwinkel","2021",2008
"Oberreut","2007",2248
"Oberreut","2008",2186
"Oberreut","2009",2131
"Oberreut","2010",2053
"Oberreut","2011",2014
"Oberreut","2012",1945
"Oberreut","2013",1878
"Oberreut","2014",1815
"Oberreut","2015",1844
"Oberreut","2016",1822
"Oberreut","2017",1791
"Oberreut","2018",1862
"Oberreut","2019",2009
"Oberreut","2020",1967
"Oberreut","2021",1942
"Beiertheim-Bulach","2007",1103
"Beiertheim-Bulach","2008",1100
"Beiertheim-Bulach","2009",1098
"Beiertheim-Bulach","2010",1102
"Beiertheim-Bulach","2011",1125
"Beiertheim-Bulach","2012",1134
"Beiertheim-Bulach","2013",1102
"Beiertheim-Bulach","2014",1084
"Beiertheim-Bulach","2015",1094
"Beiertheim-Bulach","2016",1120
"Beiertheim-Bulach","2017",1100
"Beiertheim-Bulach","2018",1113
"Beiertheim-Bulach","2019",1129
"Beiertheim-Bulach","2020",1097
"Beiertheim-Bulach","2021",1088
"Weiherfeld-Dammerstock","2007",979
"Weiherfeld-Dammerstock","2008",999
"Weiherfeld-Dammerstock","2009",988
"Weiherfeld-Dammerstock","2010",978
"Weiherfeld-Dammerstock","2011",975
"Weiherfeld-Dammerstock","2012",996
"Weiherfeld-Dammerstock","2013",967
"Weiherfeld-Dammerstock","2014",973
"Weiherfeld-Dammerstock","2015",978
"Weiherfeld-Dammerstock","2016",977
"Weiherfeld-Dammerstock","2017",989
"Weiherfeld-Dammerstock","2018",985
"Weiherfeld-Dammerstock","2019",991
"Weiherfeld-Dammerstock","2020",965
"Weiherfeld-Dammerstock","2021",949
"Rüppurr","2007",1899
"Rüppurr","2008",1890
"Rüppurr","2009",1848
"Rüppurr","2010",1829
"Rüppurr","2011",1871
"Rüppurr","2012",1873
"Rüppurr","2013",1908
"Rüppurr","2014",1899
"Rüppurr","2015",1918
"Rüppurr","2016",1904
"Rüppurr","2017",1933
"Rüppurr","2018",1954
"Rüppurr","2019",1972
"Rüppurr","2020",1982
"Rüppurr","2021",1962
"Waldstadt","2007",2086
"Waldstadt","2008",2124
"Waldstadt","2009",2138
"Waldstadt","2010",2176
"Waldstadt","2011",2204
"Waldstadt","2012",2202
"Waldstadt","2013",2247
"Waldstadt","2014",2237
"Waldstadt","2015",2274
"Waldstadt","2016",2297
"Waldstadt","2017",2286
"Waldstadt","2018",2282
"Waldstadt","2019",2278
"Waldstadt","2020",2250
"Waldstadt","2021",2236
"Rintheim","2007",1037
"Rintheim","2008",1062
"Rintheim","2009",1049
"Rintheim","2010",1028
"Rintheim","2011",988
"Rintheim","2012",1014
"Rintheim","2013",1018
"Rintheim","2014",1028
"Rintheim","2015",1073
"Rintheim","2016",1090
"Rintheim","2017",1223
"Rintheim","2018",1235
"Rintheim","2019",1239
"Rintheim","2020",1218
"Rintheim","2021",1202
"Hagsfeld","2007",1566
"Hagsfeld","2008",1522
"Hagsfeld","2009",1455
"Hagsfeld","2010",1401
"Hagsfeld","2011",1344
"Hagsfeld","2012",1341
"Hagsfeld","2013",1329
"Hagsfeld","2014",1312
"Hagsfeld","2015",1333
"Hagsfeld","2016",1320
"Hagsfeld","2017",1303
"Hagsfeld","2018",1347
"Hagsfeld","2019",1347
"Hagsfeld","2020",1300
"Hagsfeld","2021",1317
"Durlach","2007",4993
"Durlach","2008",4946
"Durlach","2009",4966
"Durlach","2010",4864
"Durlach","2011",4824
"Durlach","2012",4818
"Durlach","2013",4863
"Durlach","2014",4905
"Durlach","2015",4995
"Durlach","2016",5015
"Durlach","2017",4990
"Durlach","2018",5019
"Durlach","2019",5078
"Durlach","2020",5021
"Durlach","2021",5104
"Grötzingen","2007",1763
"Grötzingen","2008",1711
"Grötzingen","2009",1675
"Grötzingen","2010",1661
"Grötzingen","2011",1644
"Grötzingen","2012",1618
"Grötzingen","2013",1596
"Grötzingen","2014",1588
"Grötzingen","2015",1624
"Grötzingen","2016",1604
"Grötzingen","2017",1621
"Grötzingen","2018",1594
"Grötzingen","2019",1581
"Grötzingen","2020",1575
"Grötzingen","2021",1568
"Stupferich","2007",496
"Stupferich","2008",491
"Stupferich","2009",470
"Stupferich","2010",464
"Stupferich","2011",447
"Stupferich","2012",437
"Stupferich","2013",449
"Stupferich","2014",456
"Stupferich","2015",481
"Stupferich","2016",498
"Stupferich","2017",489
"Stupferich","2018",516
"Stupferich","2019",552
"Stupferich","2020",581
"Stupferich","2021",581
"Hohenwettersbach","2007",768
"Hohenwettersbach","2008",788
"Hohenwettersbach","2009",778
"Hohenwettersbach","2010",776
"Hohenwettersbach","2011",770
"Hohenwettersbach","2012",765
"Hohenwettersbach","2013",764
"Hohenwettersbach","2014",774
"Hohenwettersbach","2015",763
"Hohenwettersbach","2016",772
"Hohenwettersbach","2017",754
"Hohenwettersbach","2018",741
"Hohenwettersbach","2019",743
"Hohenwettersbach","2020",733
"Hohenwettersbach","2021",702
"Wolfartsweier","2007",594
"Wolfartsweier","2008",593
"Wolfartsweier","2009",567
"Wolfartsweier","2010",523
"Wolfartsweier","2011",524
"Wolfartsweier","2012",508
"Wolfartsweier","2013",507
"Wolfartsweier","2014",520
"Wolfartsweier","2015",532
"Wolfartsweier","2016",526
"Wolfartsweier","2017",519
"Wolfartsweier","2018",514
"Wolfartsweier","2019",503
"Wolfartsweier","2020",491
"Wolfartsweier","2021",502
"Grünwettersbach","2007",767
"Grünwettersbach","2008",758
"Grünwettersbach","2009",746
"Grünwettersbach","2010",738
"Grünwettersbach","2011",740
"Grünwettersbach","2012",751
"Grünwettersbach","2013",750
"Grünwettersbach","2014",761
"Grünwettersbach","2015",744
"Grünwettersbach","2016",770
"Grünwettersbach","2017",751
"Grünwettersbach","2018",752
"Grünwettersbach","2019",755
"Grünwettersbach","2020",738
"Grünwettersbach","2021",762
"Palmbach","2007",404
"Palmbach","2008",386
"Palmbach","2009",371
"Palmbach","2010",367
"Palmbach","2011",376
"Palmbach","2012",391
"Palmbach","2013",389
"Palmbach","2014",416
"Palmbach","2015",437
"Palmbach","2016",428
"Palmbach","2017",436
"Palmbach","2018",437
"Palmbach","2019",435
"Palmbach","2020",437
"Palmbach","2021",458
"Neureut","2007",2867
"Neureut","2008",2860
"Neureut","2009",2884
"Neureut","2010",2993
"Neureut","2011",3047
"Neureut","2012",3175
"Neureut","2013",3317
"Neureut","2014",3392
"Neureut","2015",3445
"Neureut","2016",3536
"Neureut","2017",3484
"Neureut","2018",3467
"Neureut","2019",3443
"Neureut","2020",3366
"Neureut","2021",3378
"Nordstadt","2007",2591
"Nordstadt","2008",2632
"Nordstadt","2009",2575
"Nordstadt","2010",2537
"Nordstadt","2011",2584
"Nordstadt","2012",2593
"Nordstadt","2013",2526
"Nordstadt","2014",2493
"Nordstadt","2015",2436
"Nordstadt","2016",2382
"Nordstadt","2017",2309
"Nordstadt","2018",2180
"Nordstadt","2019",2111
"Nordstadt","2020",2026
"Nordstadt","2021",1943